"","url","mentions","date"
"1","http://www.ft.dk/samling/20171/salen/1/index.htm",0,2017-10-03
"2","http://www.ft.dk/samling/20171/salen/2/index.htm",0,2017-10-04
"3","http://www.ft.dk/samling/20171/salen/3/index.htm",0,2017-10-05
"4","http://www.ft.dk/samling/20171/salen/4/index.htm",1,2017-10-10
"5","http://www.ft.dk/samling/20171/salen/5/index.htm",0,2017-10-11
"6","http://www.ft.dk/samling/20171/salen/6/index.htm",0,2017-10-12
"7","http://www.ft.dk/samling/20171/salen/7/index.htm",0,2017-10-13
"8","http://www.ft.dk/samling/20171/salen/8/index.htm",0,2017-10-24
"9","http://www.ft.dk/samling/20171/salen/9/index.htm",2,2017-10-25
"10","http://www.ft.dk/samling/20171/salen/10/index.htm",0,2017-10-26
"11","http://www.ft.dk/samling/20171/salen/11/index.htm",0,2017-10-27
"12","http://www.ft.dk/samling/20171/salen/12/index.htm",0,2017-11-02
"13","http://www.ft.dk/samling/20171/salen/13/index.htm",0,2017-11-03
"14","http://www.ft.dk/samling/20171/salen/14/index.htm",0,2017-11-07
"15","http://www.ft.dk/samling/20171/salen/15/index.htm",2,2017-11-08
"16","http://www.ft.dk/samling/20171/salen/16/index.htm",0,2017-11-09
"17","http://www.ft.dk/samling/20171/salen/17/index.htm",2,2017-11-10
"18","http://www.ft.dk/samling/20171/salen/18/index.htm",0,2017-11-14
"19","http://www.ft.dk/samling/20171/salen/19/index.htm",3,2017-11-15
"20","http://www.ft.dk/samling/20171/salen/20/index.htm",0,2017-11-16
"21","http://www.ft.dk/samling/20171/salen/21/index.htm",0,2017-11-22
"22","http://www.ft.dk/samling/20171/salen/22/index.htm",0,2017-11-23
"23","http://www.ft.dk/samling/20171/salen/23/index.htm",0,2017-11-24
"24","http://www.ft.dk/samling/20171/salen/24/index.htm",4,2017-11-28
"25","http://www.ft.dk/samling/20171/salen/25/index.htm",1,2017-11-29
"26","http://www.ft.dk/samling/20171/salen/26/index.htm",1,2017-11-30
"27","http://www.ft.dk/samling/20171/salen/27/index.htm",0,2017-12-01
"28","http://www.ft.dk/samling/20171/salen/28/index.htm",1,2017-12-05
"29","http://www.ft.dk/samling/20171/salen/29/index.htm",3,2017-12-06
"30","http://www.ft.dk/samling/20171/salen/30/index.htm",0,2017-12-07
"31","http://www.ft.dk/samling/20171/salen/31/index.htm",0,2017-12-08
"32","http://www.ft.dk/samling/20171/salen/32/index.htm",3,2017-12-12
"33","http://www.ft.dk/samling/20171/salen/33/index.htm",1,2017-12-13
"34","http://www.ft.dk/samling/20171/salen/34/index.htm",3,2017-12-14
"35","http://www.ft.dk/samling/20171/salen/35/index.htm",3,2017-12-15
"36","http://www.ft.dk/samling/20171/salen/36/index.htm",1,2017-12-19
"37","http://www.ft.dk/samling/20171/salen/37/index.htm",4,2017-12-20
"38","http://www.ft.dk/samling/20171/salen/38/index.htm",0,2017-12-22
"39","http://www.ft.dk/samling/20171/salen/39/index.htm",0,2017-12-22
"40","http://www.ft.dk/samling/20171/salen/40/index.htm",0,2018-01-09
"41","http://www.ft.dk/samling/20171/salen/41/index.htm",0,2018-01-10
"42","http://www.ft.dk/samling/20171/salen/42/index.htm",1,2018-01-11
"43","http://www.ft.dk/samling/20171/salen/43/index.htm",0,2018-01-12
"44","http://www.ft.dk/samling/20171/salen/44/index.htm",0,2018-01-16
"45","http://www.ft.dk/samling/20171/salen/45/index.htm",0,2018-01-17
"46","http://www.ft.dk/samling/20171/salen/46/index.htm",0,2018-01-18
"47","http://www.ft.dk/samling/20171/salen/47/index.htm",0,2018-01-19
